Names,links,Image,Description
Taylor Swift,https://timesofindia.indiatimes.com/sports/nfl/news/taylor-swift-has-fresh-evidence-against-her-in-blake-lively-and-justin-baldoni-drama-that-is-raising-new-questions/articleshow/118366416.cms,,Loveyapa writer reacts to film's box office debacle
PAK vs NZ,https://timesofindia.indiatimes.com/sports/cricket/pak-vs-nz-live-score-champions-trophy-2025-pakistan-vs-new-zealand-live-match-streaming-updates-karachi/liveblog/118380561.cms,,Kirti on Himesh Reshammiya's strict dialogue policy
,https://timesofindia.indiatimes.com/forceforgood?utm_source=TOI&utm_medium=SpotlightSlug_US&utm_campaign=AForceForGood,https://static.toiimg.com/photo/83033472.cms,6 benefits of drinking Okra water with lemon every morning
,https://timesofindia.indiatimes.com/business/financial-literacy?utm_source=TOI&utm_medium=Co-Marekting&utm_campaign=FLD,https://static.toiimg.com/photo/83033472.cms,Boomslang vs King Cobra: Know the key differences
Entertainment,https://timesofindia.indiatimes.com/etimes,,Dosa vendor refuses to give free dosas to Archana Puran Singh
Soha reveals Sharmila was against her marrying an actor,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/soha-ali-khan-reveals-sharmila-tagore-was-against-her-marrying-an-actor-actors-have-big-egos-and-mood-swings/articleshow/118395543.cms,https://static.toiimg.com/photo/83033472.cms,Excl: STI4 pitcher Isha battled health issues to launch her product
When Big B refused to step out of his van during Ek Ajnabee,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/apoorva-lakhia-reveals-how-amitabh-bachchan-refused-to-step-out-of-his-van-after-arjun-rampal-kept-him-waiting-for-3-hours-on-ek-ajnabee-set-arjun-began-panicking-/articleshow/118395102.cms,https://static.toiimg.com/photo/83033472.cms,Dipika recalls living in PGs with her mother
Apoorva recalls getting angry with Abhishek at his house ,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/apoorva-lakhia-recalls-abhishek-bachchan-refusing-to-do-his-film-after-six-months-of-back-and-forth-snatched-my-script-from-his-hand-and-left-his-house/articleshow/118393464.cms,https://static.toiimg.com/photo/83033472.cms,KKK15: Tentative list of the contestants
"Swara-Chhaava, SSR-Suicide, Zahan-SRK: Top 5 news",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/swara-bhasker-questions-reaction-to-chhaava-vs-stampede-ahead-of-bombay-hc-hearing-sushants-father-denies-suicide-zahan-kapoor-on-difficult-shoot-with-srk-top-5-news-of-the-day/articleshow/118390853.cms,https://static.toiimg.com/photo/83033472.cms,"Ranveer's lawyer compares case to Nupur Sharma, netizens react"
Celebrity Masterchef: Dipika Kakar quits the cooking show?,https://timesofindia.indiatimes.com/tv/news/hindi/celebrity-masterchef-has-dipika-kakar-quit-the-cooking-show-due-to-her-injury/articleshow/118394797.cms,https://static.toiimg.com/photo/83033472.cms,Zahan Kapoor calls shooting with SRK 'difficult'
Salman's leaked video sparks rumours about H'wood debut,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/salman-khans-leaked-video-from-a-set-in-dubai-sparks-rumours-about-his-hollywood-debut/articleshow/118394563.cms,,Etimes Photos
Celebs arrive for Aadar-Alekha's grand mehendi ceremony,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/ranbir-kapoor-alia-bhatt-kareena-kapoor-khan-jaya-bachchan-tina-ambani-supriya-sule-and-the-kapoor-clan-arrive-for-aadar-jain-and-alekha-advanis-grand-mehendi-ceremony/articleshow/118393372.cms,,Reviews
Salman Khan's MPK jacket was inspired by Tom Cruise,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sooraj-barjatya-shares-story-behind-salman-khans-popular-screen-name-prem-reveals-his-maine-pyaar-kiya-jacket-was-inspired-by-tom-cruise/articleshow/118392830.cms,,Critic Rating
Mollywood turmoil deepens as producers' rift escalates,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/mollywood-turmoil-deepens-as-producers-rift-escalates-is-a-film-production-halt-imminent/articleshow/118367202.cms,,3.5
Loveyapa writer reacts to film's box office debacle,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/loveyapa-writer-sneha-desai-reacts-to-box-office-debacle-of-junaid-khan-and-khushi-kapoors-debut-release-hopes-for-ott-success/articleshow/118394287.cms,,Critic Rating
Kirti on Himesh Reshammiya's strict dialogue policy,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kirti-kulhari-reveals-himesh-reshammiyas-strict-dialogue-policy-on-badass-ravikumar-take-it-or-leave-it/articleshow/118394643.cms,,3.5
6 benefits of drinking Okra water with lemon every morning,https://timesofindia.indiatimes.com/life-style/health-fitness/diet/6-benefits-of-drinking-okra-water-with-lemon-every-morning/articleshow/118357056.cms,,Critic Rating
Boomslang vs King Cobra: Know the key differences,https://timesofindia.indiatimes.com/etimes/trending/boomslang-vs-king-cobra-know-the-key-differences-on-the-basis-of-size-characteristics-population-and-more/articleshow/118310439.cms,,3.0
Dosa vendor refuses to give free dosas to Archana Puran Singh,https://timesofindia.indiatimes.com/tv/news/hindi/dosa-vendor-refuses-to-give-free-dosas-to-archana-puran-singh-and-family-jokingly-she-asks-is-a-selfie-with-me-worth-less-than-rs-100/articleshow/118366257.cms,,In focus
Excl: STI4 pitcher Isha battled health issues to launch her product,https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-shark-tank-india-4s-23-yr-old-pitcher-isha-jhawar-on-how-she-battled-health-issues-to-launch-her-healthy-product-says-i-was-on-steroids-at-the-age-of-14/photostory/118394076.cms,,Videos
Dipika recalls living in PGs with her mother,https://timesofindia.indiatimes.com/tv/news/hindi/celebrity-masterchefs-dipika-kakar-recalls-living-in-pgs-with-her-mother-in-her-initial-days-in-mumbai/articleshow/118390828.cms,,
KKK15: Tentative list of the contestants,https://timesofindia.indiatimes.com/tv/news/hindi/khatron-ke-khiladi-from-avinash-mishra-gulki-joshi-to-elvish-yadav-tentative-list-of-the-contestants/photostory/118383328.cms,,India
"Ranveer's lawyer compares case to Nupur Sharma, netizens react",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/ranveer-allahabadias-lawyer-abhinav-chandrachud-drags-nupur-sharma-in-his-argument-netizens-react-all-his-channels-should-be-banned/articleshow/118356158.cms,,​Rekha Gupta: Journey from RSS to Delhi CM chair​
Zahan Kapoor calls shooting with SRK 'difficult',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shashi-kapoors-grandson-zahan-kapoor-says-shooting-with-shah-rukh-khan-was-difficult-hes-older-now-body-unki-/articleshow/118387837.cms,,Why AAP's Atishi said Rekha Gupta's appointment as Delhi CM a matter of pride
Etimes Photos,https://photogallery.indiatimes.com/,,"UP CM Yogi congratulates Rekha Gupta on being named Delhi CM, but to miss swearing-in ceremony tomorrow"
10Dia Mirza's ethnic wear,https://photogallery.indiatimes.com/celebs/bollywood/dia-mirzas-ethnic-wear-is-a-captivating-display-of-timeless-elegance-and-grace/articleshow/114243360.cms,https://static.toiimg.com/photo/83033472.cms,Arvind Kejriwal's message for Delhi CM-designate Rekha Gupta: 'Hope she will fulfill all promises'
10Sonakshi-Zaheer's adorable pics,https://photogallery.indiatimes.com/celebs/bollywood/sonakshi-and-zaheer-dazzle-in-matching-red-outfits-perfectly-coordinating-their-festive-look/articleshow/113655480.cms,https://static.toiimg.com/photo/83033472.cms,'Thank top BJP leadership for showing faith': Rekha Gupta's first reaction after being named Delhi CM
10Amyra Dastur's golden glamour,https://photogallery.indiatimes.com/celebs/bollywood/amyra-dasturs-golden-off-shoulder-dress-is-a-fashion-polices-delight-see-pics/articleshow/113627162.cms,https://static.toiimg.com/photo/83033472.cms,From RSS to Delhi CM: Journey of Rekha Gupta
10Tamannaah's animal print outfit,https://photogallery.indiatimes.com/celebs/bollywood/tamannaah-bhatia-turns-heads-in-bold-animal-print-and-furry-ensemble-see-pics/articleshow/113484820.cms,https://static.toiimg.com/photo/83033472.cms,"Meet the company building content management system for top brands such as Lego, Burberry, Walmart, Alaska Airlines, and ASICS"
10Madhuri's white Patola saree,https://photogallery.indiatimes.com/celebs/bollywood/in-pics-madhuri-dixits-unmissable-elegance-shines-in-a-white-patola-saree/articleshow/113385665.cms,https://static.toiimg.com/photo/83033472.cms,'Our work must uphold grandeur of the building': Mohan Bhagwat as RSS inaugurates new office in Delhi
10Sanya redefines power dressing,https://photogallery.indiatimes.com/celebs/bollywood/sanya-malhotra-redefines-power-dressing-with-her-bold-and-chic-style/articleshow/113286980.cms,https://static.toiimg.com/photo/83033472.cms,Rekha Gupta to be Delhi CM: Frontrunners lose race again as BJP picks first-time MLA
11B-Town divas welcome Bappa in style,https://photogallery.indiatimes.com/celebs/bollywood/from-kareena-kapoor-to-ananya-panday-bollywood-divas-welcome-bappa-in-style/articleshow/113189471.cms,https://static.toiimg.com/photo/83033472.cms,TOI Videos
10Urmila Matondkar the timeless beauty,https://photogallery.indiatimes.com/celebs/bollywood/in-pics-urmila-matondkar-is-the-ultimate-fashion-diva-with-timeless-beauty/articleshow/113020243.cms,https://static.toiimg.com/photo/83033472.cms,
10Ananya Panday's style file,https://photogallery.indiatimes.com/celebs/bollywood/ananya-pandays-style-the-versatile-journey-down-fashions-many-roads/articleshow/112898574.cms,https://static.toiimg.com/photo/83033472.cms,City
Reviews,https://timesofindia.indiatimes.com/web-series/reviews,,4 of UP family get life for killing woman who objected to them flying pigeons
"ChhaavaChhaava’s excellence lies in its terrific climax. You just wish the film relied and trusted its solid story more than Rahman's music, which largely feels out of place.Critic Rating3.5",https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/chhaava/movie-review/118225189.cms,,"17-year-old TN girl gang-raped by college students, 7 arrested"
"Dhoom DhaamDhoom Dhaam is a fast-paced rollercoaster of action, comedy, and mystery, powered by Yami Gautam Dhar and Pratik Gandhi’s electric chemistry.Critic Rating3.5",https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/dhoom-dhaam/ottmoviereview/118240181.cms,,NDLS stampede: How safe are Delhi’s three other stations
"Captain America: Brave New WorldDespite its convoluted plot and occasional pacing issues, Brave New World delivers thrilling aerial battles and hand-to-hand combats, strong performances, and enough spectacle to entertain superheroCritic Rating3.0",https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/captain-america-brave-new-world/movie-review/118234432.cms,,"Devendra Fadnavis govt readies state budget, looks to offset populism with cost cuts"
Eknath Shinde,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/deputy-chief-minister-eknath-shinde-to-honour-team-chhaava-at-a-special-screening-on-chhatrapati-shivaji-maharajs-395th-birth-anniversary/articleshow/118383976.cms,,"BJP sweeps Gujarat local body polls, Congress tally improves marginally"
Vatsal Sheth,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/vatsal-sheth-confirms-ishita-duttas-second-pregnancy-a-very-very-happy-surprise/articleshow/118382978.cms,,"6.5 lakh euros swindled: CBI busts cybercrime network targeting German nationals, one held from Delhi"
Rakesh Roshan,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/rakesh-roshan-says-even-directors-choreographers-need-a-vanity-van-now-those-who-stay-on-the-set-for-24-hours-/articleshow/118383203.cms,,No leniency to convict for ‘digital rape’ of 2-year-old: Delhi court
Priyanka Chopra,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/priyanka-chopra-carries-a-sleeping-malti-marie-at-mumbai-airport-after-return-from-hyderabad-pics/articleshow/118371815.cms,,3 trains in 45 mins and a rush: RPF officers prevent potential tragedy as overcrowding grips Ghaziabad railway station
Kevin Spacey,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/kevin-spacey-slams-guy-pearce-over-claims-that-he-was-targeted-says-you-are-not-a-victim-watch/articleshow/118371232.cms,,Class II student sexually assaulted by safai worker at west Delhi school
Sagarika Ghatge,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sagarika-ghatge-recalls-first-meeting-with-zaheer-khan-reveals-angad-bedi-played-cupid-he-wouldnt-even-talk-to-me-at-first/articleshow/118368067.cms,,
Vijay Deverakonda,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/vijay-deverakonda-meets-allu-arjuns-wife-sneha-reddy-at-mahakumbh-2025-in-prayagraj/articleshow/118372776.cms,,Sports
Keerthy Suresh,https://timesofindia.indiatimes.com/entertainment/malayalam/web-stories/keerthy-sureshs-bridal-glow/photostory/118299506.cms,,"'When I was playing, I made sure ... ': MS Dhoni"
Videos,https://timesofindia.indiatimes.com/videos,,"Gill very classy player, his numbers are crazy: Rohit "
"03:11Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’",https://timesofindia.indiatimes.com/videos/etimes/bollywood/supreme-court-hits-ranveer-for-perverted-remarks-passport-seized-travel-blocked-calls-out-his-dirty-mind/videoshow/118354565.cms,https://static.toiimg.com/photo/83033472.cms,'You have to be at your best from game one': Virat Kohli on CT
"03:11Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’",https://timesofindia.indiatimes.com/videos/etimes/bollywood/supreme-court-hits-ranveer-for-perverted-remarks-passport-seized-travel-blocked-calls-out-his-dirty-mind/videoshow/118354565.cms,https://static.toiimg.com/photo/83033472.cms,"Picked only two spinners, rest are all-rounders: Rohit"
03:08Heartbreaking Goodbye: Kim Sae-Ron’s Emotional Funeral Leaves K-Stars in Tears,https://timesofindia.indiatimes.com/videos/entertainment/regional/others/heartbreaking-goodbye-kim-sae-rons-emotional-funeral-leaves-k-stars-in-tears/videoshow/118381722.cms,https://static.toiimg.com/photo/83033472.cms,"Lanning, Sutherland guide DC to seven-wicket win over UP "
03:10Legendary Drummer Rick Buckler of 'The Jam' Passes Away; Bandmates and Fans Pay Heartfelt Tribute,https://timesofindia.indiatimes.com/videos/entertainment/english/legendary-drummer-rick-buckler-of-the-jam-passes-away-bandmates-and-fans-pay-heartfelt-tribute/videoshow/118375675.cms,https://static.toiimg.com/photo/83033472.cms,Journo Taylor
"03:22Ranveer Allahbadia Mysteriously Disappears Amid ‘IGL’ Controversy – Phone Dead, Police Investigation Stalled",https://timesofindia.indiatimes.com/videos/etimes/bollywood/ranveer-allahbadia-mysteriously-disappears-amid-igl-controversy-phone-dead-police-investigation-stalled/videoshow/118349828.cms,https://static.toiimg.com/photo/83033472.cms,Patrick Mahomes
"03:07Rihanna Breaks Down In Tears, Embraces A$AP Rocky After Emotional Courtroom Victory",https://timesofindia.indiatimes.com/videos/entertainment/english/rihanna-breaks-down-in-tears-embraces-aap-rocky-after-emotional-courtroom-victory/videoshow/118375766.cms,https://static.toiimg.com/photo/83033472.cms,Simone Biles
03:04‘Is That PM Modi?’ Fans Go Wild Over ‘Captain America: Brave New World’; Director Responds | Watch,https://timesofindia.indiatimes.com/videos/entertainment/english/is-that-pm-modi-fans-go-wild-over-captain-america-brave-new-world-director-responds-watch/videoshow/118338876.cms,https://static.toiimg.com/photo/83033472.cms,Kevin Durant
India,https://timesofindia.indiatimes.com/india,,Hailee Steinfeld
India’s Gen Z weighs in on the Beaches vs Mountains debate — and it’s still close!,https://timesofindia.indiatimes.com/india/indias-gen-z-weighs-in-on-the-beaches-vs-mountains-debate-and-its-still-close/articleshow/118395678.cms,https://static.toiimg.com/photo/83033472.cms,
​Rekha Gupta: Journey from RSS to Delhi CM chair​,https://timesofindia.indiatimes.com/india/rekha-gupta-journey-from-rss-to-delhi-cm-chair/photostory/118393883.cms,,Trending
Why AAP's Atishi said Rekha Gupta's appointment as Delhi CM a matter of pride,https://timesofindia.indiatimes.com/india/why-aaps-atishi-said-rekha-guptas-appointment-as-delhi-cm-a-matter-of-pride/articleshow/118393115.cms,,
"UP CM Yogi congratulates Rekha Gupta on being named Delhi CM, but to miss swearing-in ceremony tomorrow",https://timesofindia.indiatimes.com/india/up-cm-yogi-congratulates-rekha-gupta-on-being-named-delhi-cm-but-to-miss-swearing-in-ceremony-tomorrow/articleshow/118392734.cms,,Visual Stories
Arvind Kejriwal's message for Delhi CM-designate Rekha Gupta: 'Hope she will fulfill all promises',https://timesofindia.indiatimes.com/india/arvind-kejriwals-message-for-delhi-cm-designate-rekha-gupta-hope-she-will-fulfill-all-promises/articleshow/118392852.cms,,
'Thank top BJP leadership for showing faith': Rekha Gupta's first reaction after being named Delhi CM,https://timesofindia.indiatimes.com/india/thank-top-bjp-leadership-for-showing-faith-rekha-guptas-first-reaction-after-being-named-delhi-cm/articleshow/118392762.cms,,Astrology
From RSS to Delhi CM: Journey of Rekha Gupta,https://timesofindia.indiatimes.com/india/from-rss-to-delhi-cm-journey-of-rekha-gupta/articleshow/118395100.cms,,6 Benefits of Keeping Kamdhenu Cow Statue at home
"Meet the company building content management system for top brands such as Lego, Burberry, Walmart, Alaska Airlines, and ASICS",https://timesofindia.indiatimes.com/india/meet-the-company-building-content-management-system-for-top-brands-such-as-lego-burberry-walmart-alaska-airlines-and-asics/articleshow/118394484.cms,,"Horoscope Tomorrow, February 20, 2025: Your zodiac insights await"
'Our work must uphold grandeur of the building': Mohan Bhagwat as RSS inaugurates new office in Delhi,https://timesofindia.indiatimes.com/india/our-work-must-uphold-grandeur-of-the-building-mohan-bhagwat-as-rss-inaugurates-new-rss-office-in-delhi/articleshow/118394522.cms,,"Daily Muhurat Update (February 19, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for Los Angeles"
Rekha Gupta to be Delhi CM: Frontrunners lose race again as BJP picks first-time MLA,https://timesofindia.indiatimes.com/india/rekha-gupta-is-delhi-cm-bjp-surprises-again-picks-first-time-mla-over-heavyweights/articleshow/118393944.cms,,"Daily Muhurat Update (February 19, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for New York City"
Celebrations erupt outside Rekha Gupta’s residence as BJP names her Delhi CM,https://timesofindia.indiatimes.com/india/celebrations-erupt-outside-rekha-guptas-residence-as-bjp-names-her-delhis-next-cm/articleshow/118392292.cms,https://static.toiimg.com/photo/83033472.cms,"Love & Dating Horoscope for February 19, 2025"
"With Rekha Gupta, Delhi gets its fourth woman chief minister",https://timesofindia.indiatimes.com/india/with-rekha-gupta-delhi-gets-its-fourth-woman-chief-minister/articleshow/118392231.cms,https://static.toiimg.com/photo/83033472.cms,Zodiac signs who are likely to get a promotion in 2025
Who is Rekha Gupta? Delhi's next chief minister,https://timesofindia.indiatimes.com/india/who-is-rekha-gupta-delhis-next-chief-minister/articleshow/118391683.cms,https://static.toiimg.com/photo/83033472.cms,Vastu Tips to attract peace at home
"BJP names Rekha Gupta Delhi chief minister, oath ceremony set for Thursday at Ramlila Maidan",https://timesofindia.indiatimes.com/india/bjp-names-rekha-gupta-delhi-chief-minister-oath-ceremony-set-for-thursday-at-ramlila-maidan/articleshow/118383493.cms,https://static.toiimg.com/photo/83033472.cms,Zodiac Signs who are fond of the limelight
TOI Videos,https://timesofindia.indiatimes.com/videos,,Planet Parade 2025: Last Chance to Witness Seven Planet Alignment until 2040
04:32'Typhoons To Storm Ukraine Skies': Britain To Replace Troops With Jets As Russia Threatens NATO,https://timesofindia.indiatimes.com/videos/international/typhoons-to-storm-ukraine-skies-britain-to-replace-troops-with-jets-as-russia-threatens-nato/videoshow/118392636.cms,https://static.toiimg.com/photo/83033472.cms,
04:32'Typhoons To Storm Ukraine Skies': Britain To Replace Troops With Jets As Russia Threatens NATO,https://timesofindia.indiatimes.com/videos/international/typhoons-to-storm-ukraine-skies-britain-to-replace-troops-with-jets-as-russia-threatens-nato/videoshow/118392636.cms,https://static.toiimg.com/photo/83033472.cms,US News
"06:21'You Have Succumbed To Putin...': Trump's Words Sting Zelensky, Angry Ukraine Leader Hits Back",https://timesofindia.indiatimes.com/videos/international/you-have-succumbed-to-putin-trumps-words-sting-zelensky-angry-ukraine-leader-hits-back/videoshow/118392412.cms,https://static.toiimg.com/photo/83033472.cms,Kamala Harris signs with Hollywood agency that works with Biden. Here's what it does
03:42Erdogan’s Big Move To Make Turkey Terror Free; '282 Arrested From 51 Provinces' | Details,https://timesofindia.indiatimes.com/videos/international/erdogans-big-move-to-make-turkey-terror-free-282-arrested-from-51-provinces-details/videoshow/118384320.cms,https://static.toiimg.com/photo/83033472.cms,Delta plane crash-landing at Toronto airport: Viral posts claim all pilots were female. What is the truth?
03:38Pro-Palestine Group 'Exposes' Israeli Soldiers in Europe; IDF Issues Advisory | Netanyahu Embarrassed,https://timesofindia.indiatimes.com/videos/international/pro-palestine-group-exposes-israeli-soldiers-in-europe-idf-issues-advisory-netanyahu-embarrassed/videoshow/118382211.cms,https://static.toiimg.com/photo/83033472.cms,"'You like Bobby, right': Did Donald Trump interrupt Elon Musk during joint interview?"
03:21Drake’s Sydney Penthouse Invaded By Spy Drone; Rapper’s Fiery Reaction With Yeezy Slides,https://timesofindia.indiatimes.com/videos/entertainment/english/drakes-sydney-penthouse-invaded-by-spy-drone-rappers-fiery-reaction-with-yeezy-slides/videoshow/118386269.cms,https://static.toiimg.com/photo/83033472.cms,Why Trump's bullying is going to backfire
03:10‘Why Are We Paying?’: Trump Defends DOGE’s Scrapping Of India Voter Turnout 'Fraud' Fund,https://timesofindia.indiatimes.com/videos/international/why-are-we-paying-trump-defends-doges-scrapping-of-india-voter-turnout-fraud-fund/videoshow/118382396.cms,https://static.toiimg.com/photo/83033472.cms,"What is DOGE dividend? Will all Americans get a refund check of $5,000 from Elon Musk?"
City,https://timesofindia.indiatimes.com/city,,"Columbine survivor Anne Marie Hochhalter, who forgave gunman's mother, dies at 43"
,javascript: void(0),,"Trump purge: Thousands of federal workers fired, programs frozen, and grants halted"
British tourist dies while trekking near Dharamshala,https://timesofindia.indiatimes.com/city/chandigarh/uk-tourist-injured-while-trekking-in-dhauladhars-dies/articleshow/118367128.cms,https://static.toiimg.com/photo/83033472.cms,'Dictator without elections': Donald Trump ups attack on Ukraine's Zelenskyy
4 of UP family get life for killing woman who objected to them flying pigeons,https://timesofindia.indiatimes.com/city/agra/4-of-family-get-life-for-killingwoman-over-pigeons-flight/articleshow/118361695.cms,,Trump asks $21m question on top of familiar tantrum on India's tariff
"17-year-old TN girl gang-raped by college students, 7 arrested",https://timesofindia.indiatimes.com/city/coimbatore/girl-gang-raped-by-college-students-in-coimbatore-seven-arrested/articleshow/118359712.cms,,
NDLS stampede: How safe are Delhi’s three other stations,https://timesofindia.indiatimes.com/city/delhi/how-safe-are-delhis-three-other-stations/articleshow/118365246.cms,,Business
"Devendra Fadnavis govt readies state budget, looks to offset populism with cost cuts",https://timesofindia.indiatimes.com/city/mumbai/govt-readies-budget-looks-to-offset-populism-with-cost-cuts/articleshow/118366098.cms,,What is LIC Smart Pension Plan? Top 10 FAQs answered on new retirement planning scheme
"BJP sweeps Gujarat local body polls, Congress tally improves marginally",https://timesofindia.indiatimes.com/city/ahmedabad/bjp-sweeps-gujarat-local-body-polls-congress-tally-improves-marginally/articleshow/118374534.cms,,PM Modi US visit: 1+1 = 11 - US and India teaming to create a MEGA partnership
"6.5 lakh euros swindled: CBI busts cybercrime network targeting German nationals, one held from Delhi",https://timesofindia.indiatimes.com/city/delhi/6-5-lakh-euros-swindled-cbi-busts-cybercrime-network-targeting-german-nationals-one-held/articleshow/118365558.cms,,"New Income Tax Bill 2025: For common man, better understanding of law and smoother tax compliances expected"
No leniency to convict for ‘digital rape’ of 2-year-old: Delhi court,https://timesofindia.indiatimes.com/city/delhi/no-leniency-to-convict-for-digital-rape-of-2-yr-old-girl-delhi-court/articleshow/118361376.cms,,Infosys average bonus drops to 80% for Q3 ahead of annual salary hikes
3 trains in 45 mins and a rush: RPF officers prevent potential tragedy as overcrowding grips Ghaziabad railway station,https://timesofindia.indiatimes.com/city/noida/3-trains-in-45-mins-a-rush-how-crowd-and-panic-spread-in-ghaziabad-rail-station/articleshow/118366922.cms,,"Stock market today: BSE Sensex ends marginally lower; Nifty50 below 22,950"
Class II student sexually assaulted by safai worker at west Delhi school,https://timesofindia.indiatimes.com/city/delhi/class-ii-student-sexually-assaulted-by-safai-worker-at-west-delhi-school/articleshow/118375208.cms,,Govt to launch e-licences for pilots; India to be second country to do so for flight crew
Sports,https://timesofindia.indiatimes.com/sports,,Tesla India entry: Why Donald Trump has said it would be ‘very unfair’ for Elon Musk’s Tesla to set up a factory in India
Dominant NZ crush Pakistan in Champions Trophy opener,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/dominant-new-zealand-crush-pakistan-by-60-runs-in-champions-trophy-opener/articleshow/118395263.cms,https://static.toiimg.com/photo/83033472.cms,Boost for ‘Make in India’! iPhone parts maker looks at supply chain shifts toward India
"'When I was playing, I made sure ... ': MS Dhoni",https://timesofindia.indiatimes.com/sports/cricket/news/when-i-was-playing-i-made-sure-ms-dhoni/articleshow/118395662.cms,,'More of white noise': Why Trump’s reciprocal tariffs on India’s exports to US will have a ‘limited’ impact
"Gill very classy player, his numbers are crazy: Rohit ",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/shubman-gill-very-classy-player-his-numbers-are-crazy-rohit-sharma/articleshow/118393001.cms,,Axis Bank
'You have to be at your best from game one': Virat Kohli on CT,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/you-have-to-be-at-your-best-from-game-one-virat-kohli-on-champions-trophy/articleshow/118389923.cms,,Provident Fund
"Picked only two spinners, rest are all-rounders: Rohit",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/picked-only-two-spinners-rest-are-all-rounders-says-rohit-sharma-on-indias-squad-for-champions-trophy/articleshow/118391592.cms,,Income Tax Slabs
"Lanning, Sutherland guide DC to seven-wicket win over UP ",https://timesofindia.indiatimes.com/sports/cricket/wpl/lanning-sutherland-guide-delhi-capitals-to-seven-wicket-win-over-up-warriorz-in-wpl/articleshow/118395286.cms,,GST
"04:02Mohammad Amir Exclusive: Champions Trophy hopes, India's absence & retirement talk",https://timesofindia.indiatimes.com/videos/sports/cricket/mohammad-amir-exclusive-champions-trophy-hopes-indias-absence-retirement-talk/videoshow/118364891.cms,https://static.toiimg.com/photo/83033472.cms,Fixed Deposit rates
01:03Behind the scenes of ISPL 2025 final as Majhi Mumbai crowned champion!,https://timesofindia.indiatimes.com/videos/sports/cricket/behind-the-scenes-of-ispl-2025-final-as-majhi-mumbai-crowned-champion/videoshow/118357450.cms,https://static.toiimg.com/photo/83033472.cms,
"India's spin puzzle: Why Axar, Jadeja are irreplaceable in Champions Trophy plans",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/indias-spin-puzzle-why-axar-jadeja-are-irreplaceable-in-champions-trophy-plans/articleshow/118394436.cms,https://static.toiimg.com/photo/83033472.cms,Recipes
Dubai pitch curator shares what India can expect in Champions Trophy,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/dubai-pitch-curator-shares-what-india-can-expect-in-champions-trophy/articleshow/118393288.cms,https://static.toiimg.com/photo/83033472.cms,
Gill dethrones Babar to claim No. 1 spot in ICC ODI rankings,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/shubman-gill-dethrones-babar-azam-to-claim-no-1-spot-in-icc-odi-rankings/articleshow/118383377.cms,https://static.toiimg.com/photo/83033472.cms,Lifestyle
'India ko sabak sikhana chahiye': Says ex-Pak spinner Saqlain,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/india-ko-sabak-sikhana-chahiye-says-former-pakistan-spinner-saqlain-mushtaq/articleshow/118379786.cms,https://static.toiimg.com/photo/83033472.cms,Style
"Bangladesh can beat anyone at Champions Trophy, says Shanto",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/bangladesh-can-beat-anyone-at-champions-trophy-says-skipper-najmul-hossain-shanto/articleshow/118387600.cms,https://static.toiimg.com/photo/83033472.cms,Karisma-Kareena steal the show at Aadar Jain's Mehendi
