Names,links,Image,Description
nashik,https://timesofindia.indiatimes.com/city/nashik,,Tamannaah's animal print outfit
navi mumbai,https://timesofindia.indiatimes.com/city/navi-mumbai,,Madhuri's white Patola saree
noida,https://timesofindia.indiatimes.com/city/noida,,Sanya redefines power dressing
patna,https://timesofindia.indiatimes.com/city/patna,,B-Town divas welcome Bappa in style
prayagraj,https://timesofindia.indiatimes.com/city/allahabad,,Urmila Matondkar the timeless beauty
puducherry,https://timesofindia.indiatimes.com/city/puducherry,,Ananya Panday's style file
pune,https://timesofindia.indiatimes.com/city/pune,,"Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’"
raipur,https://timesofindia.indiatimes.com/city/raipur,,"Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’"
rajkot,https://timesofindia.indiatimes.com/city/rajkot,,Heartbreaking Goodbye: Kim Sae-Ron’s Emotional Funeral Leaves K-Stars in Tears
ranchi,https://timesofindia.indiatimes.com/city/ranchi,,Legendary Drummer Rick Buckler of 'The Jam' Passes Away; Bandmates and Fans Pay Heartfelt Tribute
thane,https://timesofindia.indiatimes.com/city/thane,,"Ranveer Allahbadia Mysteriously Disappears Amid ‘IGL’ Controversy – Phone Dead, Police Investigation Stalled"
salem,https://timesofindia.indiatimes.com/city/salem,,"Rihanna Breaks Down In Tears, Embraces A$AP Rocky After Emotional Courtroom Victory"
shillong,https://timesofindia.indiatimes.com/city/shillong,,‘Is That PM Modi?’ Fans Go Wild Over ‘Captain America: Brave New World’; Director Responds | Watch
shimla,https://timesofindia.indiatimes.com/city/shimla,,India’s Gen Z weighs in on the Beaches vs Mountains debate — and it’s still close!
srinagar,https://timesofindia.indiatimes.com/city/srinagar,,Celebrations erupt outside Rekha Gupta’s residence as BJP names her Delhi CM
surat,https://timesofindia.indiatimes.com/city/surat,,"With Rekha Gupta, Delhi gets its fourth woman chief minister"
trichy,https://timesofindia.indiatimes.com/city/trichy,,Who is Rekha Gupta? Delhi's next chief minister
thiruvananthapuram,https://timesofindia.indiatimes.com/city/thiruvananthapuram,,"BJP names Rekha Gupta Delhi chief minister, oath ceremony set for Thursday at Ramlila Maidan"
udaipur,https://timesofindia.indiatimes.com/city/udaipur,,'Typhoons To Storm Ukraine Skies': Britain To Replace Troops With Jets As Russia Threatens NATO
vadodara,https://timesofindia.indiatimes.com/city/vadodara,,'Typhoons To Storm Ukraine Skies': Britain To Replace Troops With Jets As Russia Threatens NATO
varanasi,https://timesofindia.indiatimes.com/city/varanasi,,"'You Have Succumbed To Putin...': Trump's Words Sting Zelensky, Angry Ukraine Leader Hits Back"
vijayawada,https://timesofindia.indiatimes.com/city/vijayawada,,Erdogan’s Big Move To Make Turkey Terror Free; '282 Arrested From 51 Provinces' | Details
visakhapatnam,https://timesofindia.indiatimes.com/city/visakhapatnam,,Pro-Palestine Group 'Exposes' Israeli Soldiers in Europe; IDF Issues Advisory | Netanyahu Embarrassed
photos,https://timesofindia.indiatimes.com/city/photos,,Drake’s Sydney Penthouse Invaded By Spy Drone; Rapper’s Fiery Reaction With Yeezy Slides
Web Stories,https://timesofindia.indiatimes.com/city/web-stories,,‘Why Are We Paying?’: Trump Defends DOGE’s Scrapping Of India Voter Turnout 'Fraud' Fund
Briefs,https://timesofindia.indiatimes.com/briefs,,British tourist dies while trekking near Dharamshala
India,https://timesofindia.indiatimes.com/india,,Dominant NZ crush Pakistan in Champions Trophy opener
World,https://timesofindia.indiatimes.com/world,,"Mohammad Amir Exclusive: Champions Trophy hopes, India's absence & retirement talk"
Business,https://timesofindia.indiatimes.com/business,,Behind the scenes of ISPL 2025 final as Majhi Mumbai crowned champion!
Sports,https://timesofindia.indiatimes.com/sports,,"India's spin puzzle: Why Axar, Jadeja are irreplaceable in Champions Trophy plans"
Cricket,https://timesofindia.indiatimes.com/sports/cricket,,Dubai pitch curator shares what India can expect in Champions Trophy
Entertainment,https://timesofindia.indiatimes.com/etimes,,Gill dethrones Babar to claim No. 1 spot in ICC ODI rankings
Auto,https://timesofindia.indiatimes.com/auto,,'India ko sabak sikhana chahiye': Says ex-Pak spinner Saqlain
Tech,https://gadgetsnow.indiatimes.com?utm_source=toiweb&utm_medium=referral&utm_campaign=toiweb_hptopnav,,"Bangladesh can beat anyone at Champions Trophy, says Shanto"
Life & Style,https://timesofindia.indiatimes.com/life-style,,"Champions Trophy looks to enthral fans, add more relevance to ODIs"
Photos,https://photogallery.indiatimes.com,,Australia's CT quest: Can they overcome key absences?
Blogs,https://timesofindia.indiatimes.com/blogs,,Champions Trophy: Take a look at jerseys of 8 teams
Abound,https://timesclub.app.link/abound,,"Blood moon 2025: When, where, and how to watch the moon turning red during March's total lunar eclipse"
ePaper,"https://epaper.indiatimes.com/timesepaper/publication-the-times-of-india,city-delhi.cms?utm_source=TOI&utm_medium=L1&utm_campaign=TOIePaper_Promotions",,Man poisons his girlfriends' dog by mistake; know all about the shocking mix up
TOI+,https://timesofindia.indiatimes.com/toi-plus,,The educational journey of Delhi's new CM Rekha Gupta and her lesser-known details
Sahi hai,https://timesofindia.indiatimes.com/moneymatters,,Do fish have fashion sense? Wild fish can identify humans by outfit colours
Delhi CM,https://timesofindia.indiatimes.com/india/https/timesofindia-indiatimes-com/india/delhi-cm-candidate-announcement-bjp-2025-live-updates-parvesh-verma-pm-modi-vijender-gupta-kailash-gahlot-jitendra-mahajan-delhi-election/liveblog/118342308-cms/liveblog/118380177.cms,,Venomous snake hiding in box of bananas shocks grocery worker; here's what happened next
IPL Schedule,https://timesofindia.indiatimes.com/sports/cricket/ipl/schedule,,Could asteroid 2024 YR4 hit Indian cities? NASA raises alarm over potential impact zones
Champions Trophy Schedule,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy/schedule-fixtures,,Zodiac Signs Who Are Curious About Gossip
CEC Appointment,https://timesofindia.indiatimes.com/india/chief-election-commissioner-appointment-live-updates-gyanesh-kumar-cec-rahul-gandhi-vivek-joshi/liveblog/118373927.cms,,These Zodiac Signs Can be a Social Media Influencer
TOISA 2024,https://timesofindia.indiatimes.com/toisa2024?utm_source=TOI&utm_medium=L2&utm_campaign=toisa2024,,"Horoscope Today: Astrological Predictions for February 19, 2025"
India Schools Online,https://timesofindia.indiatimes.com/education/india-schools-online,,Spring clean your home the Vastu way: Refresh energy and enhance positivity
Rekha Gupta to be Delhi CM: Frontrunners lose race again as BJP picks first-time MLA,https://timesofindia.indiatimes.com/india/rekha-gupta-is-delhi-cm-bjp-surprises-again-picks-first-time-mla-over-heavyweights/articleshow/118393944.cms,"https://static.toiimg.com/thumb/imgsize-1500002,msid-118393944,width-600,resizemode-4/118393944.jpg","Tarot Card Reading for All Zodiac Signs: Predictions for February 19, 2025"
